m_moviekey,m_title,m_genre,m_cast,m_releasetime,m_language,m_description,m_countrykey
80000004,The Third Way of Love,"Romance, Drama","Liu Yifei, Song Seung-heon",2015,Mandarin,A lawyer's romance with a handsome CEO is thwarted by her sister's unrequited love for the same man and her firm's business dealings with his company,3
80196357,The Truth Beneath,"Crime, Thriller","Son Ye-jin, Kim Joo-hyuk",2016,Korean,"When her daughter disappears 15 days before the big election, the wife of a rookie politician launches a private search that uncovers terrible truths.",2
81145628,Norm of the North: King Sized Adventure,"Family, Comedy","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson",2019,"English, Hindi, Korean, Mandarin","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.",1
80117401,Jandino: Whatever it Takes,Comedy,Jandino Asporaat,2016,English,"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show.",1
80125979,#realityhigh,Comedy,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",2017,English,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",1
70304989,Automata,"Sci-Fi, Fantasy, Thrillers","Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall",2014,"Bulgarian, English, Spanish, English","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.",7
80164077,Fabrizio Copano: Solo pienso en mi,Stand-Up Comedy,Fabrizio Copano,2017,Spanish,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",7
70304990,Good People,"Action & Adventure, Thrillers","James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh",2014,"English, Danish, Swedish",A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.,1
80169755,Joaquín Reyes: Una y no más,Stand-Up Comedy,Joaquín Reyes,2017,,"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more.",1
70299204,Kidnapping Mr. Heineken,"Action, Dramas","Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik",2015,"Dutch, English","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.",13
80182480,Krish Trish and Baltiboy,Family,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",2009,,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab.",1
80182483,Krish Trish and Baltiboy: Battle of Wits,Family,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra",2013,,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice.",1
80182596,Krish Trish and Baltiboy: Best Friends Forever,Family,"Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra",2016,,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan.",1
80182482,Krish Trish and Baltiboy: Comics of India,Family,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",2012,,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister.",1
80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Family,"Rishi Gambhir, Smita Malhotra, Deepak Chachra",2017,,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra.",1
80182481,Krish Trish and Baltiboy: Part II,Family,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",2010,,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon.",1
80182621,Krish Trish and Baltiboy: The Greatest Trick,Family,"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal",2013,,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything.",1
80057969,Love,Drama,"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy",2015,French,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.,5
80060297,Manhattan Romance,"Romance, Comedy","Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",2014,English,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.,1
80046728,Moonwalkers,"Action, Comedy","Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte",2015,French,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.",5
80046727,Rolling Papers,Documentary,,2015,"English, Spanish","As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.",1
70304988,Stonehearst Asylum,"Horror, Thrillers","Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",2014,English,"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.",1
80057700,The Runner,Drama,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",2015,English,A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.,1
80045922,6 Years,"Dramas, Romance","Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",2015,English,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.",1
80203094,City of Joy,Documentary,,2018,English,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment.",1
70241607,Laddaland,Horror,"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit",2011,Thai,"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity.",4
80988892,Next Gen,"Family, Comedy, Sci-Fi, Fantasy","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu",2018,"Mandarin, English","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain.",3
80239639,Sierra Burgess Is A Loser,"Romance, Comedy","Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",2018,English,A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.,1
80159586,The Most Assassinated Woman in the World,"Drama, Thriller","Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé",2018,English,"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past.",1
80152447,Cézanne et moi,Drama,"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker",2016,French,"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys.",5
81154455,Article 15,"Drama, Thriller","Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",2019,Hindi,The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.,10
81113928,Care of Kancharapalem,"Comedy, Drama","Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",2018,,"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town.",1
81052275,Ee Nagaraniki Emaindi,Comedy,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",2018,Hindi,"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true.",10
